,Location,City,city_name,state_name,Lat,Lng
367,"Dallas, TX",60,Dallas, TX,32.7766642,-96.7969879
368,"Danbury, CT",21,Danbury, CT,41.394817,-73.4540111
369,"Dania Beach, FL",15,Dania Beach, FL,26.052311,-80.1439343
370,"Dania, FL",1,Dania, FL,26.052311,-80.1439343
371,"Danvers, MA",2,Danvers, MA,42.5750009,-70.932122
372,"Danville, CA",2,Danville, CA,37.8215929,-121.9999606
373,"Danville, IL",7,Danville, IL,40.124481,-87.6300207
374,"Danville, PA",5,Danville, PA,40.96342,-76.6127329
375,"Danville, VA",1,Danville, VA,36.5859718,-79.3950228
376,"Darien, IL",2,Darien, IL,41.7483483,-87.9737943
377,"Darlington, SC",1,Darlington, SC,34.2998762,-79.8761741
378,"Davenport, IA",3,Davenport, IA,41.5236437,-90.5776367
379,"Davidson, NC",1,Davidson, NC,35.4993031,-80.8486846
380,"Davie, FL",1,Davie, FL,26.0764783,-80.2521157
381,"Dayton, IN",1,Dayton, IN,40.3742025,-86.7688957
382,"Dayton, OH",30,Dayton, OH,39.7589478,-84.1916069
383,"Daytona Beach, FL",19,Daytona Beach, FL,29.2108147,-81.0228331
384,"Dayville, CT",1,Dayville, CT,41.8462044,-71.8878447
385,"De Forest, WI",1,De Forest, WI,43.2477685,-89.343727
386,"De Pere, WI",1,De Pere, WI,44.4488805,-88.0603806
